name,serving,protein,carbs,fat,calories
99% Lean Ground Chicken,8 oz,54.0,0.0,2.0,242.0
Chicken from Café Farms,4 oz,27.0,0.0,3.0,120.0
White Rice,1 cup,4.0,45.0,0.0,200.0
PB2 Powder/Honey/Cinnamon,1 tbsp,5.0,5.0,1.0,45.0
Instant Egg Whites,1.5 cups,30.0,0.0,0.0,120.0
Plain Greek Yogurt,1 cup,20.0,8.0,0.0,120.0
Blueberries,1 cup,1.0,20.0,0.0,80.0
Apple,1 medium,0.0,25.0,0.0,100.0
Walnuts,1 oz,4.0,4.0,18.0,180.0
Broccoli,2 cups,5.0,12.0,0.0,60.0
Cauliflower,2 cups,4.0,10.0,0.0,50.0
cod,170.0,12.4,5.29,100.0,2.94
turkey,236.0,9.75,6.78,81.0,1.27
romaine lettuce,85.0,1.18,2.35,18.0,0.0
fat free feta,1 serving,0.2,15.8,64,0
greek yogurt,30.0,3.33,70.0,467,20.0
